date,post_date,description,original_category,amount,account,account_type,source_file,month_folder,flow_type,category,subcategory,transaction_date
2025-04-01,2025-04-01,CHASE CREDIT CRD AUTOPAY,DIRECT_PAY,-1494.03,SoFi-JointChecking,checking,SOFI-JointChecking_Apr25.csv,Apr25,cc_payment,cc_payment,,2025-04-01
2025-04-01,2025-04-01,PACIFIC NORTHWEST CONSULTING DIRECT_DEPOSIT,DIRECT_DEPOSIT,1689.95,SoFi-JointChecking,checking,SOFI-JointChecking_Apr25.csv,Apr25,income,Income,Viviana Salary,2025-04-01
2025-04-01,2025-04-01,GREENTECH SOLUTIONS DIRECT_DEPOSIT,DIRECT_DEPOSIT,3172.73,SoFi-JointChecking,checking,SOFI-JointChecking_Apr25.csv,Apr25,income,Income,Michael Salary,2025-04-01
2025-04-02,2025-04-02,APPLE.COM/BILL,Phone/Cable,-14.23,VentureX,credit_card,VentureX_Apr25.csv,Apr25,spending,Subscriptions,,2025-04-01
2025-04-04,2025-04-04,VENMO PAYMENT,DIRECT_PAY,-78.21,SoFi-JointChecking,checking,SOFI-JointChecking_Apr25.csv,Apr25,spending,Unclassified,,2025-04-04
2025-04-04,2025-04-04,POS PURCHASE,,-109.15,BoA-Checking,checking,BoA-Checking_Apr25.csv,Apr25,spending,Unclassified,,2025-04-04
2025-04-04,2025-04-04,PHO BAC SUP SHOP,Dining,-43.76,VentureX,credit_card,VentureX_Apr25.csv,Apr25,spending,Restaurants,,2025-04-02
2025-04-05,2025-04-05,JPMORGAN CHASE,DIRECT_PAY,-2638.6,SoFi-JointChecking,checking,SOFI-JointChecking_Apr25.csv,Apr25,spending,Mortgage & Student Loans,Shorewood Mortgage,2025-04-05
2025-04-05,2025-04-05,TARGET 00001234,Shopping,-55.53,Aeroplan,credit_card,Aeroplan_Apr25.CSV,Apr25,spending,Shopping,,2025-04-02
2025-04-05,2025-04-05,WHOLEFDS MKT #10567,Groceries,-82.88,Aeroplan,credit_card,Aeroplan_Apr25.CSV,Apr25,spending,Groceries,,2025-04-02
2025-04-05,2025-04-05,ROSS STORES #567,Shopping,-21.81,AmazonPrime,credit_card,AmazonPrime_Apr25.CSV,Apr25,spending,Shopping,,2025-04-04
2025-04-06,2025-04-06,STARBUCKS #12345,,-22.07,Alaska,credit_card,Alaska_Apr25.csv,Apr25,spending,Restaurants,,2025-04-06
2025-04-07,2025-04-07,POS PURCHASE,,-16.79,BoA-Checking,checking,BoA-Checking_Apr25.csv,Apr25,spending,Unclassified,,2025-04-07
2025-04-07,2025-04-07,REI #45 SEATTLE,Shopping,-39.23,AmazonPrime,credit_card,AmazonPrime_Apr25.CSV,Apr25,spending,Shopping,,2025-04-04
2025-04-08,2025-04-08,CHIPOTLE 2345,Food & Drink,-47.38,Aeroplan,credit_card,Aeroplan_Apr25.CSV,Apr25,spending,Restaurants,,2025-04-06
2025-04-08,2025-04-08,PELOTON MEMBERSHIP,Health & Wellness,-36.35,Aeroplan,credit_card,Aeroplan_Apr25.CSV,Apr25,spending,Unclassified,,2025-04-06
2025-04-09,2025-04-09,AIRBNB * HM1ABC2DE,Travel,-430.19,VentureX,credit_card,VentureX_Apr25.csv,Apr25,spending,Travel,Lodging,2025-04-08
2025-04-09,2025-04-09,VENMO PAYMENT,DIRECT_PAY,-203.2,SoFi-JointChecking,checking,SOFI-JointChecking_Apr25.csv,Apr25,spending,Unclassified,,2025-04-09
2025-04-09,2025-04-09,Zelle Payment to Alex,ZELLE,-59.27,SoFi-JointChecking,checking,SOFI-JointChecking_Apr25.csv,Apr25,spending,Unclassified,,2025-04-09
2025-04-10,2025-04-10,JPMORGAN CHASE,DIRECT_PAY,-253.66,SoFi-JointChecking,checking,SOFI-JointChecking_Apr25.csv,Apr25,spending,Car,Subaru Lease,2025-04-10
2025-04-10,2025-04-10,DROPBOX*PLAN,Bills & Utilities,-7.23,Aeroplan,credit_card,Aeroplan_Apr25.CSV,Apr25,spending,Subscriptions,,2025-04-07
