date,post_date,description,original_category,amount,account,account_type,source_file,month_folder,flow_type,category,subcategory,transaction_date,notes
2025-08-01,2025-08-01,GREENTECH SOLUTIONS DIRECT_DEPOSIT,DIRECT_DEPOSIT,2936.6,SoFi-JointChecking,checking,SOFI-JointChecking_Aug25.csv,Aug25,income,Income,Michael Salary,2025-08-01,
2025-08-01,2025-08-01,PACIFIC NORTHWEST CONSULTING DIRECT_DEPOSIT,DIRECT_DEPOSIT,1293.35,SoFi-JointChecking,checking,SOFI-JointChecking_Aug25.csv,Aug25,income,Income,Viviana Salary,2025-08-01,
2025-08-02,2025-08-02,From Checking - 1234,OTHER,304.61,SoFi-JointSavings,savings,SOFI-JointSavings_Aug25.csv,Aug25,internal_transfer,internal_transfer,,2025-08-02,
2025-08-03,2025-08-03,ATM WITHDRAWAL,DEBIT,-57.53,Chase Checking,checking,Chase-Checking_Aug25.csv,Aug25,spending,Unclassified,,2025-08-03,
2025-08-04,2025-08-04,VENMO PAYMENT,DIRECT_PAY,-213.12,SoFi-JointChecking,checking,SOFI-JointChecking_Aug25.csv,Aug25,spending,Unclassified,,2025-08-04,
2025-08-04,2025-08-04,ONLINE TRANSFER,,-65.72,BoA-Checking,checking,BoA-Checking_Aug25.csv,Aug25,spending,Unclassified,,2025-08-04,
2025-08-05,2025-08-05,JPMORGAN CHASE,DIRECT_PAY,-2414.93,SoFi-JointChecking,checking,SOFI-JointChecking_Aug25.csv,Aug25,spending,Mortgage & Student Loans,Shorewood Mortgage,2025-08-05,
2025-08-05,2025-08-05,APPLE.COM/BILL,Bills & Utilities,-5.47,Aeroplan,credit_card,Aeroplan_Aug25.CSV,Aug25,spending,Subscriptions,,2025-08-03,
2025-08-05,2025-08-05,ROSS STORES #567,Shopping,-59.84,Aeroplan,credit_card,Aeroplan_Aug25.CSV,Aug25,spending,Shopping,,2025-08-02,
2025-08-05,2025-08-05,PHO BAC SUP SHOP,Food & Drink,-15.13,Aeroplan,credit_card,Aeroplan_Aug25.CSV,Aug25,spending,Unclassified,,2025-08-02,
2025-08-06,2025-08-06,SAFEWAY STORE 1234,Groceries,-121.65,Aeroplan,credit_card,Aeroplan_Aug25.CSV,Aug25,spending,Groceries,,2025-08-05,
2025-08-06,2025-08-06,QFC #5678,Groceries,-48.84,Aeroplan,credit_card,Aeroplan_Aug25.CSV,Aug25,spending,Groceries,,2025-08-05,
2025-08-07,2025-08-07,ALDI STORE 09876,Groceries,-131.97,Aeroplan,credit_card,Aeroplan_Aug25.CSV,Aug25,spending,Groceries,,2025-08-06,
2025-08-07,2025-08-07,PANERA BREAD #4567,Dining,-12.5,VentureX,credit_card,VentureX_Aug25.csv,Aug25,spending,Restaurants,,2025-08-04,
2025-08-08,2025-08-08,PANERA BREAD #4567,Food & Drink,-30.63,Aeroplan,credit_card,Aeroplan_Aug25.CSV,Aug25,spending,Unclassified,,2025-08-07,
2025-08-09,2025-08-09,PELOTON MEMBERSHIP,Health & Wellness,-44.64,Aeroplan,credit_card,Aeroplan_Aug25.CSV,Aug25,spending,Unclassified,,2025-08-07,
2025-08-10,2025-08-10,Zelle Payment to Alex,ZELLE,-89.54,SoFi-JointChecking,checking,SOFI-JointChecking_Aug25.csv,Aug25,spending,Unclassified,,2025-08-10,
2025-08-10,2025-08-10,JPMORGAN CHASE,DIRECT_PAY,-244.89,SoFi-JointChecking,checking,SOFI-JointChecking_Aug25.csv,Aug25,spending,Car,Subaru Lease,2025-08-10,
2025-08-10,2025-08-10,STARBUCKS #12345,Food & Drink,-45.86,Aeroplan,credit_card,Aeroplan_Aug25.CSV,Aug25,spending,Restaurants,,2025-08-09,
2025-08-10,2025-08-10,ONLINE TRANSFER,,-94.87,BoA-Checking,checking,BoA-Checking_Aug25.csv,Aug25,spending,Unclassified,,2025-08-10,
2025-08-10,2025-08-10,COSTCO WHSE #0045,Groceries,-115.13,Aeroplan,credit_card,Aeroplan_Aug25.CSV,Aug25,spending,Groceries,,2025-08-09,
2025-08-11,2025-08-11,SAFEWAY STORE 1234,Groceries,-17.13,Aeroplan,credit_card,Aeroplan_Aug25.CSV,Aug25,spending,Groceries,,2025-08-08,
2025-08-12,2025-08-12,MARRIOTT HOTEL SEA,Travel,-447.05,VentureX,credit_card,VentureX_Aug25.csv,Aug25,spending,Unclassified,,2025-08-09,
