date,post_date,description,original_category,amount,account,account_type,source_file,month_folder,flow_type,category,subcategory,transaction_date
2025-05-01,2025-05-01,PACIFIC NORTHWEST CONSULTING DIRECT_DEPOSIT,DIRECT_DEPOSIT,1345.71,SoFi-JointChecking,checking,SOFI-JointChecking_May25.csv,May25,income,Income,Viviana Salary,2025-05-01
2025-05-01,2025-05-01,GREENTECH SOLUTIONS DIRECT_DEPOSIT,DIRECT_DEPOSIT,2932.89,SoFi-JointChecking,checking,SOFI-JointChecking_May25.csv,May25,income,Income,Michael Salary,2025-05-01
2025-05-03,2025-05-03,VENMO PAYMENT,DIRECT_PAY,-33.42,SoFi-JointChecking,checking,SOFI-JointChecking_May25.csv,May25,spending,Unclassified,,2025-05-03
2025-05-04,2025-05-04,WHOLEFDS MKT #10567,Groceries,-59.19,AmazonPrime,credit_card,AmazonPrime_May25.CSV,May25,spending,Groceries,,2025-05-02
2025-05-05,2025-05-05,JPMORGAN CHASE,DIRECT_PAY,-2490.47,SoFi-JointChecking,checking,SOFI-JointChecking_May25.csv,May25,spending,Mortgage & Student Loans,Shorewood Mortgage,2025-05-05
2025-05-06,2025-05-06,ROSS STORES #567,Shopping,-35.03,Aeroplan,credit_card,Aeroplan_May25.CSV,May25,spending,Shopping,,2025-05-03
2025-05-06,2025-05-06,LINKEDIN PREMIUM,Bills & Utilities,-11.88,Aeroplan,credit_card,Aeroplan_May25.CSV,May25,spending,Unclassified,,2025-05-05
2025-05-07,2025-05-07,ALDI STORE 09876,Groceries,-86.7,Aeroplan,credit_card,Aeroplan_May25.CSV,May25,spending,Groceries,,2025-05-05
2025-05-08,2025-05-08,UNITED AIRLINES 0161234,Travel,-303.05,VentureX,credit_card,VentureX_May25.csv,May25,spending,Travel,Flights,2025-05-06
2025-05-08,2025-05-08,MCDONALDS F12345,Dining,-16.02,VentureX,credit_card,VentureX_May25.csv,May25,spending,Restaurants,,2025-05-07
2025-05-08,2025-05-08,CHIPOTLE 2345,Food & Drink,-7.94,Aeroplan,credit_card,Aeroplan_May25.CSV,May25,spending,Restaurants,,2025-05-07
2025-05-09,2025-05-09,PHO BAC SUP SHOP,Food & Drink,-25.53,Aeroplan,credit_card,Aeroplan_May25.CSV,May25,spending,Unclassified,,2025-05-07
2025-05-09,2025-05-09,QFC #5678,Groceries,-77.71,Aeroplan,credit_card,Aeroplan_May25.CSV,May25,spending,Groceries,,2025-05-06
2025-05-09,2025-05-09,LINKEDIN PREMIUM,Bills & Utilities,-14.03,Aeroplan,credit_card,Aeroplan_May25.CSV,May25,spending,Unclassified,,2025-05-07
2025-05-09,2025-05-09,TARGET 00001234,Merchandise,-95.33,VentureX,credit_card,VentureX_May25.csv,May25,spending,Shopping,,2025-05-06
2025-05-09,2025-05-09,ROSS STORES #567,Merchandise,-94.13,VentureX,credit_card,VentureX_May25.csv,May25,spending,Shopping,,2025-05-07
2025-05-10,2025-05-10,JPMORGAN CHASE,DIRECT_PAY,-281.06,SoFi-JointChecking,checking,SOFI-JointChecking_May25.csv,May25,spending,Car,Subaru Lease,2025-05-10
2025-05-11,2025-05-11,DOMINOS PIZZA 6789,Dining,-41.07,VentureX,credit_card,VentureX_May25.csv,May25,spending,Restaurants,,2025-05-09
2025-05-12,2025-05-12,DIRECT_PAY UTILITIES,DIRECT_PAY,-208.61,SoFi-JointChecking,checking,SOFI-JointChecking_May25.csv,May25,spending,Unclassified,,2025-05-12
2025-05-12,2025-05-12,CHIPOTLE 2345,Food & Drink,-18.76,Aeroplan,credit_card,Aeroplan_May25.CSV,May25,spending,Restaurants,,2025-05-10
2025-05-13,2025-05-13,PHO BAC SUP SHOP,Food & Drink,-9.92,Aeroplan,credit_card,Aeroplan_May25.CSV,May25,spending,Unclassified,,2025-05-10
2025-05-13,2025-05-13,OPENAI *CHATGPT PLUS,Bills & Utilities,-5.62,Aeroplan,credit_card,Aeroplan_May25.CSV,May25,spending,Subscriptions,AI Subscriptions,2025-05-11
2025-05-13,2025-05-13,STARBUCKS #12345,Dining,-38.81,VentureX,credit_card,VentureX_May25.csv,May25,spending,Restaurants,,2025-05-12
2025-05-14,2025-05-14,CLAUDE.AI SUBSCRIPTION,Bills & Utilities,-9.04,Aeroplan,credit_card,Aeroplan_May25.CSV,May25,spending,Subscriptions,AI Subscriptions,2025-05-11
2025-05-14,2025-05-14,DIRECT_PAY UTILITIES,DIRECT_PAY,-58.5,SoFi-JointChecking,checking,SOFI-JointChecking_May25.csv,May25,spending,Unclassified,,2025-05-14
2025-05-15,2025-05-15,PACIFIC NORTHWEST CONSULTING DIRECT_DEPOSIT,DIRECT_DEPOSIT,1618.32,SoFi-JointChecking,checking,SOFI-JointChecking_May25.csv,May25,income,Income,Viviana Salary,2025-05-15
2025-05-15,2025-05-15,IC* INSTACART GROCERIES,Groceries,-77.33,AmazonPrime,credit_card,AmazonPrime_May25.CSV,May25,spending,Groceries,,2025-05-14
2025-05-15,2025-05-15,GREENTECH SOLUTIONS DIRECT_DEPOSIT,DIRECT_DEPOSIT,3147.51,SoFi-JointChecking,checking,SOFI-JointChecking_May25.csv,May25,income,Income,Michael Salary,2025-05-15
2025-05-15,2025-05-15,THAI BAMBOO REST,Food & Drink,-16.25,Aeroplan,credit_card,Aeroplan_May25.CSV,May25,spending,Unclassified,,2025-05-13
2025-05-15,2025-05-15,POS PURCHASE,,-101.18,BoA-Checking,checking,BoA-Checking_May25.csv,May25,spending,Unclassified,,2025-05-15
2025-05-17,2025-05-17,CHIPOTLE 2345,Dining,-48.0,VentureX,credit_card,VentureX_May25.csv,May25,spending,Restaurants,,2025-05-16
2025-05-17,2025-05-17,H&M US ONLINE,Shopping,-46.31,AmazonPrime,credit_card,AmazonPrime_May25.CSV,May25,spending,Shopping,,2025-05-16
2025-05-18,2025-05-18,PANERA BREAD #4567,Food & Drink,-27.47,Aeroplan,credit_card,Aeroplan_May25.CSV,May25,spending,Unclassified,,2025-05-15
2025-05-18,2025-05-18,ROSS STORES #567,Shopping,-92.45,Aeroplan,credit_card,Aeroplan_May25.CSV,May25,spending,Shopping,,2025-05-16
