date,post_date,description,original_category,amount,account,account_type,source_file,month_folder,flow_type,category,subcategory,transaction_date,notes
2025-11-01,2025-11-01,PACIFIC NORTHWEST CONSULTING DIRECT_DEPOSIT,DIRECT_DEPOSIT,1546.58,SoFi-JointChecking,checking,SOFI-JointChecking_Nov25.csv,Nov25,income,Income,Viviana Salary,2025-11-01,
2025-11-01,2025-11-01,GREENTECH SOLUTIONS DIRECT_DEPOSIT,DIRECT_DEPOSIT,3104.61,SoFi-JointChecking,checking,SOFI-JointChecking_Nov25.csv,Nov25,income,Income,Michael Salary,2025-11-01,
2025-11-01,2025-11-01,MOD PIZZA SEATTLE,,-17.15,Alaska,credit_card,Alaska_Nov25.csv,Nov25,spending,Unclassified,,2025-11-01,
2025-11-02,2025-11-02,H&M US ONLINE,Shopping,-23.87,AmazonPrime,credit_card,AmazonPrime_Nov25.CSV,Nov25,spending,Shopping,,2025-11-01,
2025-11-02,2025-11-02,Zelle Payment to Alex,ZELLE,-81.51,SoFi-JointChecking,checking,SOFI-JointChecking_Nov25.csv,Nov25,spending,Unclassified,,2025-11-02,
2025-11-02,2025-11-02,H&M US ONLINE,Shopping,-65.1,AmazonPrime,credit_card,AmazonPrime_Nov25.CSV,Nov25,spending,Shopping,,2025-11-01,
2025-11-03,2025-11-03,ROSS STORES #567,Shopping,-80.25,Aeroplan,credit_card,Aeroplan_Nov25.CSV,Nov25,spending,Shopping,,2025-11-01,
2025-11-03,2025-11-03,MCDONALDS F12345,Dining,-35.97,VentureX,credit_card,VentureX_Nov25.csv,Nov25,spending,Restaurants,,2025-11-02,
2025-11-04,2025-11-04,PHO BAC SUP SHOP,Food & Drink,-32.98,Aeroplan,credit_card,Aeroplan_Nov25.CSV,Nov25,spending,Unclassified,,2025-11-03,
2025-11-05,2025-11-05,JPMORGAN CHASE,DIRECT_PAY,-2588.71,SoFi-JointChecking,checking,SOFI-JointChecking_Nov25.csv,Nov25,spending,Mortgage & Student Loans,Shorewood Mortgage,2025-11-05,
2025-11-05,2025-11-05,MOD PIZZA SEATTLE,Dining,-38.1,VentureX,credit_card,VentureX_Nov25.csv,Nov25,spending,Restaurants,,2025-11-03,
2025-11-06,2025-11-06,ALDI STORE 09876,Groceries,-99.3,Aeroplan,credit_card,Aeroplan_Nov25.CSV,Nov25,spending,Groceries,,2025-11-05,
2025-11-06,2025-11-06,PHO BAC SUP SHOP,Dining,-39.39,VentureX,credit_card,VentureX_Nov25.csv,Nov25,spending,Restaurants,,2025-11-04,
2025-11-07,2025-11-07,CHIPOTLE 2345,Food & Drink,-40.92,Aeroplan,credit_card,Aeroplan_Nov25.CSV,Nov25,spending,Restaurants,,2025-11-05,
2025-11-07,2025-11-07,DROPBOX*PLAN,Bills & Utilities,-12.29,Aeroplan,credit_card,Aeroplan_Nov25.CSV,Nov25,spending,Subscriptions,,2025-11-05,
2025-11-08,2025-11-08,ATM WITHDRAWAL,DEBIT,-54.7,Chase Checking,checking,Chase-Checking_Nov25.csv,Nov25,spending,Unclassified,,2025-11-08,
2025-11-09,2025-11-09,GOODWILL RETAIL #89,Shopping,-14.4,AmazonPrime,credit_card,AmazonPrime_Nov25.CSV,Nov25,spending,Shopping,,2025-11-08,
2025-11-09,2025-11-09,YMCA OF GREATER SEATTLE,Health & Wellness,-19.52,Aeroplan,credit_card,Aeroplan_Nov25.CSV,Nov25,spending,Childcare,YMCA Kids Programs,2025-11-08,
2025-11-10,2025-11-10,JPMORGAN CHASE,DIRECT_PAY,-277.18,SoFi-JointChecking,checking,SOFI-JointChecking_Nov25.csv,Nov25,spending,Car,Subaru Lease,2025-11-10,
2025-11-10,2025-11-10,AMC THEATRES #1234,Entertainment,-19.43,Aeroplan,credit_card,Aeroplan_Nov25.CSV,Nov25,spending,Fun & Entertainment,,2025-11-08,
2025-11-10,2025-11-10,THAI BAMBOO REST,Dining,-27.0,VentureX,credit_card,VentureX_Nov25.csv,Nov25,spending,Restaurants,,2025-11-07,
2025-11-11,2025-11-11,ONLINE TRANSFER,,-61.64,BoA-Checking,checking,BoA-Checking_Nov25.csv,Nov25,spending,Unclassified,,2025-11-11,
2025-11-12,2025-11-12,SAFEWAY STORE 1234,Groceries,-118.12,AmazonPrime,credit_card,AmazonPrime_Nov25.CSV,Nov25,spending,Groceries,,2025-11-09,
2025-11-12,2025-11-12,STARBUCKS #12345,Dining,-11.4,VentureX,credit_card,VentureX_Nov25.csv,Nov25,spending,Restaurants,,2025-11-09,
2025-11-12,2025-11-12,IKEA SEATTLE,Shopping,-98.32,Aeroplan,credit_card,Aeroplan_Nov25.CSV,Nov25,spending,Shopping,,2025-11-10,
2025-11-12,2025-11-12,SKECHERS USA 456,Shopping,-40.72,AmazonPrime,credit_card,AmazonPrime_Nov25.CSV,Nov25,spending,Shopping,,2025-11-10,
2025-11-13,2025-11-13,QFC #5678,Groceries,-27.61,Aeroplan,credit_card,Aeroplan_Nov25.CSV,Nov25,spending,Groceries,,2025-11-10,
2025-11-13,2025-11-13,WHOLEFDS MKT #10567,Groceries,-21.91,AmazonPrime,credit_card,AmazonPrime_Nov25.CSV,Nov25,spending,Groceries,,2025-11-12,
