date,post_date,description,original_category,amount,account,account_type,source_file,month_folder,flow_type,category,subcategory,transaction_date,notes
2025-10-01,2025-10-01,PACIFIC NORTHWEST CONSULTING DIRECT_DEPOSIT,DIRECT_DEPOSIT,1510.65,SoFi-JointChecking,checking,SOFI-JointChecking_Oct25.csv,Oct25,income,Income,Viviana Salary,2025-10-01,
2025-10-01,2025-10-01,GREENTECH SOLUTIONS DIRECT_DEPOSIT,DIRECT_DEPOSIT,2423.32,SoFi-JointChecking,checking,SOFI-JointChecking_Oct25.csv,Oct25,income,Income,Michael Salary,2025-10-01,
2025-10-03,2025-10-03,PANERA BREAD #4567,Food & Drink,-41.07,Aeroplan,credit_card,Aeroplan_Oct25.CSV,Oct25,spending,Unclassified,,2025-10-01,
2025-10-03,2025-10-03,STARBUCKS #12345,Food & Drink,-41.25,Aeroplan,credit_card,Aeroplan_Oct25.CSV,Oct25,spending,Restaurants,,2025-10-01,
2025-10-04,2025-10-04,APPLE.COM/BILL,Phone/Cable,-8.54,VentureX,credit_card,VentureX_Oct25.csv,Oct25,spending,Subscriptions,,2025-10-03,
2025-10-05,2025-10-05,IKEA SEATTLE,Shopping,-90.36,Aeroplan,credit_card,Aeroplan_Oct25.CSV,Oct25,spending,Shopping,,2025-10-03,
2025-10-05,2025-10-05,Zelle Payment to Alex,ZELLE,-152.05,SoFi-JointChecking,checking,SOFI-JointChecking_Oct25.csv,Oct25,spending,Unclassified,,2025-10-05,
2025-10-05,2025-10-05,JPMORGAN CHASE,DIRECT_PAY,-2435.33,SoFi-JointChecking,checking,SOFI-JointChecking_Oct25.csv,Oct25,spending,Mortgage & Student Loans,Shorewood Mortgage,2025-10-05,
2025-10-05,2025-10-05,PHO BAC SUP SHOP,Dining,-31.82,VentureX,credit_card,VentureX_Oct25.csv,Oct25,spending,Restaurants,,2025-10-02,
2025-10-05,2025-10-05,MCDONALDS F12345,Dining,-28.91,VentureX,credit_card,VentureX_Oct25.csv,Oct25,spending,Restaurants,,2025-10-03,
2025-10-06,2025-10-06,MUSEUM OF POP CULTURE,Entertainment,-10.44,Aeroplan,credit_card,Aeroplan_Oct25.CSV,Oct25,spending,Fun & Entertainment,,2025-10-03,
