date,post_date,description,original_category,amount,account,account_type,source_file,month_folder,flow_type,category,subcategory,transaction_date,notes
2026-02-01,2026-02-01,PACIFIC NORTHWEST CONSULTING DIRECT_DEPOSIT,DIRECT_DEPOSIT,1398.59,SoFi-JointChecking,checking,SOFI-JointChecking_Feb26.csv,Feb26,income,Income,Viviana Salary,2026-02-01,
2026-02-01,2026-02-01,GREENTECH SOLUTIONS DIRECT_DEPOSIT,DIRECT_DEPOSIT,2864.39,SoFi-JointChecking,checking,SOFI-JointChecking_Feb26.csv,Feb26,income,Income,Michael Salary,2026-02-01,
2026-02-03,2026-02-03,STARBUCKS #12345,Dining,-18.41,VentureX,credit_card,VentureX_Feb26.csv,Feb26,spending,Restaurants,,2026-02-01,
2026-02-03,2026-02-03,THAI BAMBOO REST,Food & Drink,-15.75,Aeroplan,credit_card,Aeroplan_Feb26.CSV,Feb26,spending,Unclassified,,2026-02-02,
2026-02-03,2026-02-03,GOODWILL RETAIL #89,Shopping,-102.42,Aeroplan,credit_card,Aeroplan_Feb26.CSV,Feb26,spending,Shopping,,2026-02-01,
2026-02-04,2026-02-04,CHIPOTLE 2345,,-41.67,Alaska,credit_card,Alaska_Feb26.csv,Feb26,spending,Restaurants,,2026-02-04,
2026-02-04,2026-02-04,MCDONALDS F12345,Dining,-20.63,VentureX,credit_card,VentureX_Feb26.csv,Feb26,spending,Restaurants,,2026-02-03,
2026-02-04,2026-02-04,MCDONALDS F12345,,-45.06,Alaska,credit_card,Alaska_Feb26.csv,Feb26,spending,Unclassified,,2026-02-04,
2026-02-04,2026-02-04,WHOLEFDS MKT #10567,Groceries,-52.25,Aeroplan,credit_card,Aeroplan_Feb26.CSV,Feb26,spending,Groceries,,2026-02-03,
2026-02-04,2026-02-04,ZELLE PAYMENT TO ALEX,DEBIT,-112.7,Chase Checking,checking,Chase-Checking_Feb26.csv,Feb26,spending,Unclassified,,2026-02-04,
2026-02-05,2026-02-05,THAI BAMBOO REST,Food & Drink,-46.69,Aeroplan,credit_card,Aeroplan_Feb26.CSV,Feb26,spending,Unclassified,,2026-02-03,
2026-02-05,2026-02-05,STARBUCKS #12345,Food & Drink,-13.87,Aeroplan,credit_card,Aeroplan_Feb26.CSV,Feb26,spending,Restaurants,,2026-02-04,
2026-02-05,2026-02-05,STARBUCKS #12345,Food & Drink,-31.07,Aeroplan,credit_card,Aeroplan_Feb26.CSV,Feb26,spending,Restaurants,,2026-02-03,
2026-02-05,2026-02-05,SKECHERS USA 456,Shopping,-73.63,AmazonPrime,credit_card,AmazonPrime_Feb26.CSV,Feb26,spending,Shopping,,2026-02-03,
2026-02-05,2026-02-05,JPMORGAN CHASE,DIRECT_PAY,-2538.62,SoFi-JointChecking,checking,SOFI-JointChecking_Feb26.csv,Feb26,spending,Mortgage & Student Loans,Shorewood Mortgage,2026-02-05,
2026-02-06,2026-02-06,CHECK DEPOSIT,CREDIT,337.65,Chase Checking,checking,Chase-Checking_Feb26.csv,Feb26,other,Unclassified,,2026-02-06,
2026-02-06,2026-02-06,PANERA BREAD #4567,Dining,-27.45,VentureX,credit_card,VentureX_Feb26.csv,Feb26,spending,Restaurants,,2026-02-04,
2026-02-07,2026-02-07,MCDONALDS F12345,Food & Drink,-37.07,Aeroplan,credit_card,Aeroplan_Feb26.CSV,Feb26,spending,Unclassified,,2026-02-05,
2026-02-07,2026-02-07,VENMO PAYMENT,DIRECT_PAY,-233.13,SoFi-JointChecking,checking,SOFI-JointChecking_Feb26.csv,Feb26,spending,Unclassified,,2026-02-07,
2026-02-07,2026-02-07,DIRECT_PAY UTILITIES,DIRECT_PAY,-189.89,SoFi-JointChecking,checking,SOFI-JointChecking_Feb26.csv,Feb26,spending,Unclassified,,2026-02-07,
2026-02-08,2026-02-08,DROPBOX*PLAN,Bills & Utilities,-7.77,Aeroplan,credit_card,Aeroplan_Feb26.CSV,Feb26,spending,Subscriptions,,2026-02-06,
2026-02-09,2026-02-09,ATM WITHDRAWAL,,-105.16,BoA-Checking,checking,BoA-Checking_Feb26.csv,Feb26,spending,Unclassified,,2026-02-09,
2026-02-09,2026-02-09,WHOLEFDS MKT #10567,Groceries,-37.88,Aeroplan,credit_card,Aeroplan_Feb26.CSV,Feb26,spending,Groceries,,2026-02-06,
2026-02-09,2026-02-09,TARGET 00001234,Shopping,-24.04,Aeroplan,credit_card,Aeroplan_Feb26.CSV,Feb26,spending,Shopping,,2026-02-07,
2026-02-09,2026-02-09,WOODLAND PARK ZOO,Entertainment,-10.05,Aeroplan,credit_card,Aeroplan_Feb26.CSV,Feb26,spending,Fun & Entertainment,,2026-02-06,
2026-02-10,2026-02-10,JPMORGAN CHASE,DIRECT_PAY,-287.87,SoFi-JointChecking,checking,SOFI-JointChecking_Feb26.csv,Feb26,spending,Car,Subaru Lease,2026-02-10,
2026-02-10,2026-02-10,SKECHERS USA 456,Shopping,-74.91,Aeroplan,credit_card,Aeroplan_Feb26.CSV,Feb26,spending,Shopping,,2026-02-09,
2026-02-11,2026-02-11,SAFEWAY STORE 1234,Groceries,-81.57,Aeroplan,credit_card,Aeroplan_Feb26.CSV,Feb26,spending,Groceries,,2026-02-09,
2026-02-11,2026-02-11,ONLINE TRANSFER,,-61.42,BoA-Checking,checking,BoA-Checking_Feb26.csv,Feb26,spending,Unclassified,,2026-02-11,
2026-02-11,2026-02-11,ALDI STORE 09876,Groceries,-62.93,AmazonPrime,credit_card,AmazonPrime_Feb26.CSV,Feb26,spending,Groceries,,2026-02-08,
2026-02-11,2026-02-11,STARBUCKS #12345,Food & Drink,-9.45,Aeroplan,credit_card,Aeroplan_Feb26.CSV,Feb26,spending,Restaurants,,2026-02-10,
2026-02-12,2026-02-12,DOMINOS PIZZA 6789,Food & Drink,-38.91,Aeroplan,credit_card,Aeroplan_Feb26.CSV,Feb26,spending,Unclassified,,2026-02-11,
2026-02-12,2026-02-12,PHO BAC SUP SHOP,Food & Drink,-37.98,Aeroplan,credit_card,Aeroplan_Feb26.CSV,Feb26,spending,Unclassified,,2026-02-10,
2026-02-12,2026-02-12,WHOLEFDS MKT #10567,Groceries,-120.19,Aeroplan,credit_card,Aeroplan_Feb26.CSV,Feb26,spending,Groceries,,2026-02-10,
