date,post_date,description,original_category,amount,account,account_type,source_file,month_folder,flow_type,category,subcategory,transaction_date
2026-03-01,2026-03-01,PACIFIC NORTHWEST CONSULTING DIRECT_DEPOSIT,DIRECT_DEPOSIT,1594.93,SoFi-JointChecking,checking,SOFI-JointChecking_Mar26.csv,Mar26,income,Income,Viviana Salary,2026-03-01
2026-03-01,2026-03-01,GREENTECH SOLUTIONS DIRECT_DEPOSIT,DIRECT_DEPOSIT,2768.4,SoFi-JointChecking,checking,SOFI-JointChecking_Mar26.csv,Mar26,income,Income,Michael Salary,2026-03-01
2026-03-01,2026-03-01,ONLINE TRANSFER,,-66.18,BoA-Checking,checking,BoA-Checking_Mar26.csv,Mar26,spending,Unclassified,,2026-03-01
2026-03-02,2026-03-02,SPOTIFY USA,Bills & Utilities,-6.14,Aeroplan,credit_card,Aeroplan_Mar26.csv,Mar26,spending,Unclassified,,2026-03-02
2026-03-04,2026-03-04,PANERA BREAD #4567,Food & Drink,-29.43,Aeroplan,credit_card,Aeroplan_Mar26.csv,Mar26,spending,Unclassified,,2026-03-02
2026-03-05,2026-03-05,JPMORGAN CHASE,DIRECT_PAY,-2581.28,SoFi-JointChecking,checking,SOFI-JointChecking_Mar26.csv,Mar26,spending,Mortgage & Student Loans,Shorewood Mortgage,2026-03-05
2026-03-05,2026-03-05,NETFLIX.COM,Bills & Utilities,-8.41,Aeroplan,credit_card,Aeroplan_Mar26.csv,Mar26,spending,Subscriptions,,2026-03-05
2026-03-05,2026-03-05,REI #45 SEATTLE,Shopping,-24.86,Aeroplan,credit_card,Aeroplan_Mar26.csv,Mar26,spending,Shopping,,2026-03-03
2026-03-05,2026-03-05,UBER *TRIP,Travel,-430.66,VentureX,credit_card,VentureX_Mar26.csv,Mar26,spending,Travel,Rideshare & Transit,2026-03-03
2026-03-05,2026-03-05,TRADER JOES #123,Groceries,-18.15,Aeroplan,credit_card,Aeroplan_Mar26.csv,Mar26,spending,Groceries,,2026-03-04
2026-03-05,2026-03-05,PHO BAC SUP SHOP,Food & Drink,-19.29,Aeroplan,credit_card,Aeroplan_Mar26.csv,Mar26,spending,Unclassified,,2026-03-03
2026-03-06,2026-03-06,UBER *TRIP,Travel,-232.15,Aeroplan,credit_card,Aeroplan_Mar26.csv,Mar26,spending,Travel,Rideshare & Transit,2026-03-06
2026-03-06,2026-03-06,IC* INSTACART GROCERIES,Groceries,-44.14,Aeroplan,credit_card,Aeroplan_Mar26.csv,Mar26,spending,Groceries,,2026-03-05
2026-03-06,2026-03-06,MCDONALDS F12345,Dining,-42.72,VentureX,credit_card,VentureX_Mar26.csv,Mar26,spending,Restaurants,,2026-03-04
2026-03-07,2026-03-07,CAPITAL ONE MOBILE PMT,DIRECT_PAY,-1241.84,SoFi-JointChecking,checking,SOFI-JointChecking_Mar26.csv,Mar26,cc_payment,cc_payment,,2026-03-07
2026-03-07,2026-03-07,Zelle Payment to Sam,ZELLE,-270.66,SoFi-JointChecking,checking,SOFI-JointChecking_Mar26.csv,Mar26,spending,Unclassified,,2026-03-07
2026-03-07,2026-03-07,COSTCO WHSE #0045,Groceries,-142.43,Aeroplan,credit_card,Aeroplan_Mar26.csv,Mar26,spending,Groceries,,2026-03-06
2026-03-07,2026-03-07,UBER *TRIP,Travel,-429.78,Aeroplan,credit_card,Aeroplan_Mar26.csv,Mar26,spending,Travel,Rideshare & Transit,2026-03-07
2026-03-07,2026-03-07,Zelle Payment to Alex,ZELLE,-123.25,SoFi-JointChecking,checking,SOFI-JointChecking_Mar26.csv,Mar26,spending,Unclassified,,2026-03-07
2026-03-08,2026-03-08,REI #45 SEATTLE,Shopping,-84.29,AmazonPrime,credit_card,AmazonPrime_Mar26.csv,Mar26,spending,Shopping,,2026-03-06
2026-03-09,2026-03-09,PHO BAC SUP SHOP,,-53.96,Alaska,credit_card,Alaska_Mar26.csv,Mar26,spending,Unclassified,,2026-03-09
2026-03-10,2026-03-10,DIRECT_PAY UTILITIES,DIRECT_PAY,-290.45,SoFi-JointChecking,checking,SOFI-JointChecking_Mar26.csv,Mar26,spending,Unclassified,,2026-03-10
2026-03-10,2026-03-10,JPMORGAN CHASE,DIRECT_PAY,-299.24,SoFi-JointChecking,checking,SOFI-JointChecking_Mar26.csv,Mar26,spending,Car,Subaru Lease,2026-03-10
2026-03-12,2026-03-12,SAFEWAY STORE 1234,Groceries,-126.02,AmazonPrime,credit_card,AmazonPrime_Mar26.csv,Mar26,spending,Groceries,,2026-03-11
2026-03-13,2026-03-13,CLAUDE.AI SUBSCRIPTION,Bills & Utilities,-13.22,Aeroplan,credit_card,Aeroplan_Mar26.csv,Mar26,spending,Subscriptions,AI Subscriptions,2026-03-13
2026-03-13,2026-03-13,AMAZON.COM*1A2B3C,Shopping,-24.08,Aeroplan,credit_card,Aeroplan_Mar26.csv,Mar26,spending,Shopping,,2026-03-11
2026-03-14,2026-03-14,SAFEWAY STORE 1234,Groceries,-67.1,AmazonPrime,credit_card,AmazonPrime_Mar26.csv,Mar26,spending,Groceries,,2026-03-13
2026-03-14,2026-03-14,SEATTLE AQUARIUM,Entertainment,-13.85,Aeroplan,credit_card,Aeroplan_Mar26.csv,Mar26,spending,Fun & Entertainment,,2026-03-14
2026-03-15,2026-03-15,PACIFIC NORTHWEST CONSULTING DIRECT_DEPOSIT,DIRECT_DEPOSIT,1369.37,SoFi-JointChecking,checking,SOFI-JointChecking_Mar26.csv,Mar26,income,Income,Viviana Salary,2026-03-15
2026-03-15,2026-03-15,REI #45 SEATTLE,Shopping,-31.29,Aeroplan,credit_card,Aeroplan_Mar26.csv,Mar26,spending,Shopping,,2026-03-13
2026-03-15,2026-03-15,GREENTECH SOLUTIONS DIRECT_DEPOSIT,DIRECT_DEPOSIT,2949.9,SoFi-JointChecking,checking,SOFI-JointChecking_Mar26.csv,Mar26,income,Income,Michael Salary,2026-03-15
2026-03-15,2026-03-15,MOD PIZZA SEATTLE,Food & Drink,-21.23,Aeroplan,credit_card,Aeroplan_Mar26.csv,Mar26,spending,Unclassified,,2026-03-14
2026-03-16,2026-03-16,AIRBNB * HM1ABC2DE,Travel,-464.8,VentureX,credit_card,VentureX_Mar26.csv,Mar26,spending,Travel,Lodging,2026-03-14
2026-03-17,2026-03-17,MCDONALDS F12345,Food & Drink,-23.71,Aeroplan,credit_card,Aeroplan_Mar26.csv,Mar26,spending,Unclassified,,2026-03-16
2026-03-17,2026-03-17,PANERA BREAD #4567,Dining,-15.67,VentureX,credit_card,VentureX_Mar26.csv,Mar26,spending,Restaurants,,2026-03-15
2026-03-18,2026-03-18,PHO BAC SUP SHOP,Food & Drink,-13.52,Aeroplan,credit_card,Aeroplan_Mar26.csv,Mar26,spending,Unclassified,,2026-03-15
2026-03-18,2026-03-18,CHIPOTLE 2345,,-56.42,Alaska,credit_card,Alaska_Mar26.csv,Mar26,spending,Restaurants,,2026-03-18
2026-03-19,2026-03-19,TARGET 00001234,Shopping,-40.94,AmazonPrime,credit_card,AmazonPrime_Mar26.csv,Mar26,spending,Shopping,,2026-03-17
2026-03-20,2026-03-20,INTEREST PAYMENT,INTEREST_EARNED,38.35,SoFi-JointChecking,checking,SOFI-JointChecking_Mar26.csv,Mar26,income,Income,Other Income,2026-03-20
2026-03-21,2026-03-21,TARGET 00001234,Shopping,-101.41,AmazonPrime,credit_card,AmazonPrime_Mar26.csv,Mar26,spending,Shopping,,2026-03-19
2026-03-21,2026-03-21,STARBUCKS #12345,Food & Drink,-9.48,Aeroplan,credit_card,Aeroplan_Mar26.csv,Mar26,spending,Restaurants,,2026-03-19
2026-03-22,2026-03-22,From Checking - 1234,OTHER,550.03,SoFi-JointSavings,savings,SOFI-JointSavings_Mar26.csv,Mar26,internal_transfer,internal_transfer,,2026-03-22
2026-03-22,2026-03-22,H&M US ONLINE,Shopping,-9.63,Aeroplan,credit_card,Aeroplan_Mar26.csv,Mar26,spending,Shopping,,2026-03-20
2026-03-22,2026-03-22,VENMO PAYMENT,DIRECT_PAY,-76.35,SoFi-JointChecking,checking,SOFI-JointChecking_Mar26.csv,Mar26,spending,Unclassified,,2026-03-22
2026-03-22,2026-03-22,VENMO PAYMENT,DIRECT_PAY,-125.93,SoFi-JointChecking,checking,SOFI-JointChecking_Mar26.csv,Mar26,spending,Unclassified,,2026-03-22
2026-03-22,2026-03-22,CHASE CREDIT CRD AUTOPAY,DIRECT_PAY,-1543.34,SoFi-JointChecking,checking,SOFI-JointChecking_Mar26.csv,Mar26,cc_payment,cc_payment,,2026-03-22
2026-03-23,2026-03-23,NETFLIX.COM,Bills & Utilities,-9.66,Aeroplan,credit_card,Aeroplan_Mar26.csv,Mar26,spending,Subscriptions,,2026-03-23
2026-03-23,2026-03-23,SAFEWAY STORE 1234,Groceries,-38.76,Aeroplan,credit_card,Aeroplan_Mar26.csv,Mar26,spending,Groceries,,2026-03-22
2026-03-23,2026-03-23,STARBUCKS #12345,Food & Drink,-15.1,Aeroplan,credit_card,Aeroplan_Mar26.csv,Mar26,spending,Restaurants,,2026-03-20
2026-03-23,2026-03-23,CHIPOTLE 2345,Dining,-36.24,VentureX,credit_card,VentureX_Mar26.csv,Mar26,spending,Restaurants,,2026-03-21
2026-03-24,2026-03-24,WOODLAND PARK ZOO,Entertainment,-14.87,Aeroplan,credit_card,Aeroplan_Mar26.csv,Mar26,spending,Fun & Entertainment,,2026-03-24
2026-03-24,2026-03-24,TRADER JOES #123,Groceries,-36.71,Aeroplan,credit_card,Aeroplan_Mar26.csv,Mar26,spending,Groceries,,2026-03-23
2026-03-25,2026-03-25,TARGET 00001234,Merchandise,-36.72,VentureX,credit_card,VentureX_Mar26.csv,Mar26,spending,Shopping,,2026-03-23
2026-03-25,2026-03-25,ATM WITHDRAWAL,,-36.97,BoA-Checking,checking,BoA-Checking_Mar26.csv,Mar26,spending,Unclassified,,2026-03-25
2026-03-26,2026-03-26,MCDONALDS F12345,Food & Drink,-34.45,Aeroplan,credit_card,Aeroplan_Mar26.csv,Mar26,spending,Unclassified,,2026-03-23
2026-03-27,2026-03-27,WHOLEFDS MKT #10567,Groceries,-74.63,Aeroplan,credit_card,Aeroplan_Mar26.csv,Mar26,spending,Groceries,,2026-03-26
2026-03-28,2026-03-28,TARGET 00001234,Shopping,-100.28,AmazonPrime,credit_card,AmazonPrime_Mar26.csv,Mar26,spending,Shopping,,2026-03-28
2026-03-28,2026-03-28,INTEREST PAYMENT,INTEREST_EARNED,18.6,SoFi-JointSavings,savings,SOFI-JointSavings_Mar26.csv,Mar26,income,Income,Other Income,2026-03-28
2026-03-28,2026-03-28,POS PURCHASE,,-82.91,BoA-Checking,checking,BoA-Checking_Mar26.csv,Mar26,spending,Unclassified,,2026-03-28
2026-03-28,2026-03-28,IKEA SEATTLE,Merchandise,-87.98,VentureX,credit_card,VentureX_Mar26.csv,Mar26,spending,Shopping,,2026-03-26
2026-03-28,2026-03-28,STARBUCKS #12345,Dining,-33.48,VentureX,credit_card,VentureX_Mar26.csv,Mar26,spending,Restaurants,,2026-03-28
2026-03-28,2026-03-28,REI #45 SEATTLE,,-49.2,Alaska,credit_card,Alaska_Mar26.csv,Mar26,spending,Shopping,,2026-03-28
2026-03-28,2026-03-28,PHO BAC SUP SHOP,Dining,-22.74,VentureX,credit_card,VentureX_Mar26.csv,Mar26,spending,Restaurants,,2026-03-28
2026-03-28,2026-03-28,INTEREST PAYMENT,,2.17,BoA-Checking,checking,BoA-Checking_Mar26.csv,Mar26,income,Income,Other Income,2026-03-28
2026-03-28,2026-03-28,STARBUCKS #12345,Food & Drink,-40.54,Aeroplan,credit_card,Aeroplan_Mar26.csv,Mar26,spending,Restaurants,,2026-03-26
2026-03-28,2026-03-28,INTEREST PAYMENT,,7.7,BoA-Savings,savings,BoA-Savings_Mar26.csv,Mar26,income,Income,Other Income,2026-03-28
2026-03-28,2026-03-28,STARBUCKS #12345,Food & Drink,-14.93,Aeroplan,credit_card,Aeroplan_Mar26.csv,Mar26,spending,Restaurants,,2026-03-28
