date,post_date,description,original_category,amount,account,account_type,source_file,month_folder,flow_type,category,subcategory,transaction_date,notes
2025-03-07,2025-03-07,SDOT PAYBYPHONE PARKING,Gas/Automotive,-3.0,VentureX,credit_card,VentureX_2025.csv,2025,spending,Car,Parking,2025-03-05,
2025-03-11,2025-03-11,"ParkWhiz, Inc. Chicago IL",,-12.84,Alaska,credit_card,Alaska_2025.csv,2025,spending,Car,,2025-03-11,
2025-03-12,2025-03-12,SDOT PAYBYPHONE PARKING,Gas/Automotive,-11.0,VentureX,credit_card,VentureX_2025.csv,2025,spending,Car,Parking,2025-03-10,
2025-03-21,2025-03-21,DIAMOND PARKING parkmobilecomWA,,-4.1,Alaska,credit_card,Alaska_2025.csv,2025,spending,Car,Parking,2025-03-21,
2025-03-22,2025-03-22,SDOT PAYBYPHONE PARKING,Gas/Automotive,-4.02,VentureX,credit_card,VentureX_2025.csv,2025,spending,Car,Parking,2025-03-20,
2025-03-22,2025-03-22,DIAMOND PARKING,Gas/Automotive,-6.59,VentureX,credit_card,VentureX_2025.csv,2025,spending,Car,Parking,2025-03-21,
2025-03-22,2025-03-22,DIAMOND PARKING,Gas/Automotive,-6.59,VentureX,credit_card,VentureX_2025.csv,2025,spending,Car,Parking,2025-03-21,
2025-03-26,2025-03-26,SDOT PAYBYPHONE PARKING,Travel,-3.6,AmazonPrime,credit_card,AmazonPrime_2025.CSV,2025,spending,Car,Parking,2025-03-24,
2025-04-07,2025-04-07,METROPOLIS PARKING,Gas/Automotive,-12.99,VentureX,credit_card,VentureX_2025.csv,2025,spending,Car,,2025-04-06,
2025-04-09,2025-04-09,ACE PARKING 3397,Gas/Automotive,-72.0,VentureX,credit_card,VentureX_2025.csv,2025,spending,Car,,2025-04-07,
2025-04-19,2025-04-19,SDOT PAYBYPHONE PARKING 2066845260 WA,,-4.0,CashRewards-Scott,credit_card,May2025_2382.csv,Mar26,spending,Car,Parking,2025-04-19,
2025-04-19,2025-04-19,SDOT PAYBYPHONE PARKING 2066845260 WA,,-4.02,CashRewards-Scott,credit_card,May2025_2382.csv,Mar26,spending,Car,Parking,2025-04-19,
2025-04-21,2025-04-21,SPOTHERO 844-356-8054,Gas/Automotive,-13.24,VentureX,credit_card,VentureX_2025.csv,2025,spending,Car,Parking,2025-04-20,
2025-04-23,2025-04-23,SPOTHERO 844-356-8054 SPOTHERO.COM IL,,-9.75,Alaska,credit_card,Alaska_2025.csv,2025,spending,Car,Parking,2025-04-23,
2025-04-23,2025-04-23,SDOT PAYBYPHONE PARKING 2066845260 WA,,-1.33,CashRewards-Scott,credit_card,May2025_2382.csv,Mar26,spending,Car,Parking,2025-04-23,
2025-04-26,2025-04-26,SDOT PAYBYPHONE PARKING 2066845260 WA,,-4.02,CashRewards-Scott,credit_card,May2025_2382.csv,Mar26,spending,Car,Parking,2025-04-26,
2025-04-26,2025-04-26,SDOT PAYBYPHONE PARKING 2066845260 WA,,-2.0,CashRewards-Scott,credit_card,May2025_2382.csv,Mar26,spending,Car,Parking,2025-04-26,
2025-04-28,2025-04-28,SDOT PAYBYPHONE PARKING 2066845260 WA,,-1.5,CashRewards-Scott,credit_card,May2025_2382.csv,Mar26,spending,Car,Parking,2025-04-28,
2025-04-30,2025-04-30,SDOT PAYBYPHONE PARKING 2066845260 WA,,-3.42,CashRewards-Scott,credit_card,May2025_2382.csv,Mar26,spending,Car,Parking,2025-04-30,
2025-04-30,2025-04-30,SDOT PAYBYPHONE PARKING 2066845260 WA,,-4.02,CashRewards-Scott,credit_card,May2025_2382.csv,Mar26,spending,Car,Parking,2025-04-30,
2025-05-07,2025-05-07,SPOTHERO 844-356-8054 SPOTHERO.COM IL,,-15.86,Alaska,credit_card,Alaska_2025.csv,2025,spending,Car,Parking,2025-05-07,
2025-05-07,2025-05-07,SDOT PAYBYPHONE PARKING 2066845260 WA,,-4.0,CashRewards-Scott,credit_card,June2025_2382.csv,Mar26,spending,Car,Parking,2025-05-07,
2025-05-10,2025-05-10,SDOT PAYBYPHONE PARKING 2066845260 WA,,-4.02,CashRewards-Scott,credit_card,June2025_2382.csv,Mar26,spending,Car,Parking,2025-05-10,
2025-05-10,2025-05-10,SPOTHERO 844-356-8054 SPOTHERO.COM IL,,-15.86,Alaska,credit_card,Alaska_2025.csv,2025,spending,Car,Parking,2025-05-10,
2025-05-10,2025-05-10,FINANCIAL CENTER PARKING,Gas/Automotive,-20.0,VentureX,credit_card,VentureX_2025.csv,2025,spending,Car,,2025-05-08,
2025-05-31,2025-05-31,SDOT PAYBYPHONE PARKING,Gas/Automotive,-4.0,VentureX,credit_card,VentureX_2025.csv,2025,spending,Car,Parking,2025-05-29,
2025-05-31,2025-05-31,SDOT PAYBYPHONE PARKING,Gas/Automotive,-3.77,VentureX,credit_card,VentureX_2025.csv,2025,spending,Car,Parking,2025-05-29,
2025-06-12,2025-06-12,DIAMOND PARKING,Gas/Automotive,-6.59,VentureX,credit_card,VentureX_2025.csv,2025,spending,Car,Parking,2025-06-11,
2025-06-12,2025-06-12,SDOT PAYBYPHONE PARKING,Gas/Automotive,-4.0,VentureX,credit_card,VentureX_2025.csv,2025,spending,Car,Parking,2025-06-10,
